_id,_class,username,firstName,lastName,fullName,avatarUrl,nickname,email,phone,address,gender,birthDate,description,createdAt,modifiedAt,version
ObjectId("5b4c63aa170bb8185792506c"),com.agilityio.springmongotraining.models.UserInternal,Jerrell-Herman-3c37efb2-aff0-40f9-b7ec-ed8c5f637cca,James,Herman,Jerrell Herman,,Alexa Volkman IV,orville.bogan@yahoo.com,1-330-949-7777 x444,Suite 935 28068 Oswaldo Manors, North Aracelifort, AZ 97772,OTHER,""2005-01-15T12:47:20.430Z"",Quia aut commodi quam corrupti velit accusantium quis. Occaecati asperiores sint sequi. Quia dolor dolore debitis quaerat natus totam. Illo nam inventore harum sunt ducimus. Autem quis ducimus modi iste.,""2018-07-16T09:21:45.492Z"",""2018-07-16T09:21:45.492Z"",0
ObjectId("5b4c63aa170bb8185792506d"),com.agilityio.springmongotraining.models.UserInternal,Jovany-Ruecker-63e28fa4-b71d-4190-98a8-9c1ae4d99333,Jovany,Ruecker,Jovany Ruecker,https://s3.amazonaws.com/uifaces/faces/twitter/pcridesagain/128.jpg,Eladio Ward,marco.flatley@yahoo.com,210-319-5555 x222,Suite 516 262 Hauck Path, New Otilia, MT 77162,OTHER,""1961-07-15T11:50:13.448Z"",Corporis laborum a. Non incidunt tenetur nesciunt voluptas voluptatem quo. Molestiae eaque nihil hic ipsam omnis sit id. Error ab placeat dolorem accusantium voluptates excepturi.,""2018-07-16T09:21:45.505Z"",""2018-07-16T09:21:45.505Z"",0
ObjectId("5b4c63aa170bb8185792506e"),com.agilityio.springmongotraining.models.UserInternal,Ernestina-Daniel-7b9cd2ee-1be0-4c19-a6ce-b6489ff961c3,Ernestina,Daniel,Ernestina Daniel,https://s3.amazonaws.com/uifaces/faces/twitter/gonzalorobaina/128.jpg,Elenor Wolff,westley.powlowski@yahoo.com,540-304-5555,677 Pollich Ford, North Asaside, KS 94604-6149,OTHER,""1995-11-30T20:47:46.411Z"",Debitis iste vero officiis quam ut sint veritatis. Quisquam beatae dolorum explicabo omnis non iusto. Id sit autem enim in reiciendis. Ea molestias voluptas omnis perferendis. Voluptatum fugit error aperiam quo vel est.,""2018-07-16T09:21:45.509Z"",""2018-07-16T09:21:45.509Z"",0
ObjectId("5b4c63aa170bb8185792506f"),com.agilityio.springmongotraining.models.UserInternal,Arlie-Herman-9022a533-af6b-45be-940c-3746541629af,James,Herman,Arlie Herman,https://s3.amazonaws.com/uifaces/faces/twitter/mrxloka/128.jpg,Penelope Schuster DDS,imelda.toy@hotmail.com,1-878-706-6666,2915 Pfeffer Turnpike, Mafaldatown, NC 11023-6312,FEMALE,""1964-07-13T20:47:33.872Z"",Ex delectus tempora consectetur non saepe voluptatum distinctio. Omnis at temporibus rerum. Nulla qui perferendis aut qui. Dolor aut est inventore magnam facilis aliquid unde.,""2018-07-16T09:21:45.512Z"",""2018-07-16T09:21:45.512Z"",0
ObjectId("5b4c63aa170bb81857925070"),com.agilityio.springmongotraining.models.UserInternal,Kendra-Corwin-0ed899cf-b447-454b-b21c-c8e84fdff108,Kendra,Corwin,Kendra Corwin,https://s3.amazonaws.com/uifaces/faces/twitter/angelceballos/128.jpg,Miss Fred Heathcote,leon.green@hotmail.com,412.817.6666 x777,Suite 367 85688 Vicky Spur, Orlandoburgh, NC 04559-2734,FEMALE,""1989-03-28T23:43:36.351Z"",Aut sequi harum. Quia ut modi aut rerum neque deleniti culpa. Corrupti velit voluptate numquam. Autem est ut dolorem numquam qui explicabo quia.,""2018-07-16T09:21:45.513Z"",""2018-07-16T09:21:45.513Z"",0
ObjectId("5b4c63aa170bb81857925071"),com.agilityio.springmongotraining.models.UserInternal,Bessie-Kihn-4f3ff496-ad96-4849-8453-59b6d9fa87a6,James,Kihn,Bessie Kihn,https://s3.amazonaws.com/uifaces/faces/twitter/cyril_gaillard/128.jpg,Jaydon D'Amore,shana.walsh@hotmail.com,970.440.7777,6062 Hintz Loop, Mikaylastad, MN 83129,FEMALE,""1994-06-16T19:47:04.288Z"",Omnis veniam aut. Vel ullam explicabo magni et corporis. Et maiores reprehenderit nemo qui. Ducimus aut non quo tempore. Explicabo provident iure enim.,""2018-07-16T09:21:45.515Z"",""2018-07-16T09:21:45.515Z"",0
ObjectId("5b4c63aa170bb81857925072"),com.agilityio.springmongotraining.models.UserInternal,Hayley-Abbott-4a03c309-8615-41cc-83c6-261c7bb58894,Hayley,Abbott,Hayley Abbott,https://s3.amazonaws.com/uifaces/faces/twitter/unterdreht/128.jpg,Maureen Carroll DDS,helga.purdy@yahoo.com,510-952-5555 x666,Apt. 524 625 Carolyne Views, Shirleychester, FL 30508,FEMALE,""1967-09-13T00:22:41.468Z"",Nostrum a voluptatem praesentium qui corrupti quia sunt. Voluptate nihil quis quis. Dolorem aut illo. Iure sit quibusdam.,""2018-07-16T09:21:45.518Z"",""2018-07-16T09:21:45.518Z"",0
ObjectId("5b4c63aa170bb81857925073"),com.agilityio.springmongotraining.models.UserInternal,Eloy-Leffler-df21e4be-b9e8-4065-90bd-a04b53aabb14,Eloy,Leffler,Eloy Leffler,https://s3.amazonaws.com/uifaces/faces/twitter/dev_essentials/128.jpg,Alda Schaefer,randall.koch@hotmail.com,(714) 806-5555,97201 Bernhard Bypass, Kirstenland, MN 86408-0228,FEMALE,""1957-04-28T23:59:51.241Z"",Totam provident sed ullam quis. Nisi architecto veniam nisi est architecto fugit quos. Numquam necessitatibus sint quae est dolorem. Sit totam consequuntur consequatur.,""2018-07-16T09:21:45.521Z"",""2018-07-16T09:21:45.521Z"",0
ObjectId("5b4c63aa170bb81857925074"),com.agilityio.springmongotraining.models.UserInternal,Norbert-Ratke-dc601029-fc16-4bc6-b5b9-aa36bac44fbb,Norbert,Ratke,Norbert Ratke,https://s3.amazonaws.com/uifaces/faces/twitter/nemanjaivanovic/128.jpg,Jeromy Williamson,angel.klein@hotmail.com,1-901-229-6666,787 Tamara Heights, West Zachariahland, GA 51503-1216,MALE,""2000-11-06T20:25:20.379Z"",Eos possimus tenetur commodi quod ab aut. Molestiae qui dolor. Aut assumenda non pariatur magnam officia quo.,""2018-07-16T09:21:45.525Z"",""2018-07-16T09:21:45.525Z"",0
ObjectId("5b4c63aa170bb81857925075"),com.agilityio.springmongotraining.models.UserInternal,Delores-Bauch-5011304b-f17e-497b-b09c-5f76941e8aeb,Delores,Bauch,Delores Bauch,https://s3.amazonaws.com/uifaces/faces/twitter/angelceballos/128.jpg,Abigail Crist,lyda.oreilly@gmail.com,505-308-8888,Suite 844 04486 Schultz Mountains, South Royal, NH 66478-0937,OTHER,""1977-05-08T20:46:02.599Z"",Cum voluptas debitis qui atque officiis. Et rem quis nihil qui. Ut reiciendis quisquam porro.,""2018-07-16T09:21:45.527Z"",""2018-07-16T09:21:45.527Z"",0
